iter	Accuracy	MultiClass
331	1	0.1644047494
332	1	0.1641483627
333	1	0.1632291211
334	1	0.1624036223
335	1	0.1621824153
336	1	0.1614572129
337	1	0.1607696951
338	1	0.1606077232
339	1	0.1603013588
340	1	0.1599475939
341	1	0.1596942338
342	1	0.15923292
343	1	0.158578532
344	1	0.1580518243
345	1	0.1579180793
346	1	0.1577113523
347	1	0.1574464591
348	1	0.1568458131
349	1	0.1566313638
350	1	0.1563569861
351	1	0.1559356672
352	1	0.1556166875
353	1	0.1554324639
354	1	0.1548476478
355	1	0.1539875047
356	1	0.1530130145
357	1	0.1520978777
358	1	0.1514841944
359	1	0.1507929887
360	1	0.1504939886
361	1	0.1498629033
362	1	0.14899764
363	1	0.1479804921
364	1	0.1475283366
365	1	0.1469236752
366	1	0.1461051032
367	1	0.1456915049
368	1	0.145223083
369	1	0.144891835
370	1	0.1442411493
371	1	0.1435691102
372	1	0.1425574397
373	1	0.1421063491
374	1	0.1418412
375	1	0.141522732
376	1	0.1409721286
377	1	0.1406500039
378	1	0.1403675538
379	1	0.1396319757
380	1	0.1390073396
381	1	0.1387001391
382	1	0.1385085442
383	1	0.1376725365
384	1	0.1371341139
385	1	0.1368158004
386	1	0.1363031776
387	1	0.1360902663
388	1	0.1357818081
389	1	0.135357963
390	1	0.1351036846
391	1	0.1347091376
392	1	0.1342972718
393	1	0.1338549253
394	1	0.1336372955
395	1	0.1332106094
396	1	0.1329251528
397	1	0.1322102457
398	1	0.1309242052
399	1	0.1306342991
